Terawatt-hours,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Other*,Total
US,22.7,1368.7,1314,847.3,296.5,418.9,13.6,4281.8
Canada,4.3,73.4,76.1,96.7,396.9,45.6,0.5,693.4
Mexico,40.8,181.1,31,10.9,31.7,19.6,0,315
Argentina,11.1,82.8,1.7,6.3,41.6,3,0.5,147
Brazil,17.2,65.4,25.2,15.8,369.5,97.9,0,590.9
Other S. & Cent. America,90.8,94.7,42.4,0,306.4,43.2,0.4,577.9
Germany,5.7,86,242.2,75.9,19.7,198.1,26.6,654.2
Italy,9,144.6,32.8,0,36.3,68.4,4.5,295.4
Netherlands,1.1,56.4,31.4,5.3,0.1,17.5,4.8,116.6
Poland,1.9,9.8,134.1,0,2.6,21.2,0.8,170.3
Spain,17.7,63.1,45.1,58.1,18.5,69.5,3.5,275.4
Turkey,2,108.2,97.6,0,58.4,29.4,0,295.5
United Kingdom,2.2,133.3,22.6,70.3,5.9,92.9,8.6,335.9
Other Europe,22.1,173.2,235.6,641,434.7,218.2,33.2,1758
Kazakhstan,2,25.1,64.3,0,11.2,0.4,0,103
Russian Federation,15.8,529.9,153.3,203.1,183.3,1.2,4.7,1091.2
Ukraine,1.3,7.3,50.6,85.6,8.7,1.7,1.9,157.1
Other CIS,3.8,129.8,3.8,2.6,47.5,0.5,0.3,188.2
Iran,34.3,245.5,0.5,7.1,16.4,0.6,0,304.4
Saudi Arabia,154.3,221.1,0,0,0,0.1,0,375.6
United Arab Emirates,1.6,133.7,0,0,0,0.5,0,135.8
Other Middle East,126.1,238.5,22.3,0,3.6,4.7,0,395.2
Egypt,27.2,149.9,0,0,13.4,2.7,0,193.2
South Africa,0,1.9,223.8,15.8,0.9,8.7,4.1,255.1
Other Africa,54.2,173.3,27.1,0,114.2,13.1,0.4,382.4
Australia,6.3,54.9,159.1,0,13.7,25.2,0.2,259.4
China,14.9,196.2,4360.9,248.3,1155.8,471.7,47.4,6495.1
India,10.3,75.5,1141.4,37.4,135.6,96.4,0.3,1497
Indonesia,23.5,53.2,152.3,0,18.4,13,0,260.4
Japan,54.8,401.5,342.5,29.1,79.2,98.9,14.1,1020
Malaysia,1.6,61.9,72.5,0,24.8,1.6,0,162.3
South Korea,12.4,120.8,264.4,148.4,3,16,6.7,571.7
Taiwan,12.1,93.8,126.4,22.4,5.4,5.2,4.9,270.3
Thailand,0.3,121,35.7,0,4.7,14.8,0,176.6
Vietnam,0.8,44.4,74.3,0,70.2,0.4,0,190.1
Other Asia Pacific,76.9,195.6,116.6,8.1,131.4,30.7,0.7,559.9
France,17,3,25,424,3,12,13,
